10 bcdefghi,aihjdc,abd,acbjhgfe,adf,aedg,afdh,agdjbi,ahb,bhd
10 bcdefgh,ahi,aid,acijhgfe,adf,aedg,afdh,agdjib,bhjdc,dih
10 bcdefg,ahi,aid,acie,adif,aeijhg,afh,bgfji,bhjfedc,fih
10 bcdefg,ahi,aid,ace,adif,aeijhg,afh,bgfji,bhjfec,fih
10 bcdefg,ahi,aid,acie,adif,aejhg,afh,bgfji,bhjedc,fih
10 bcdefg,ahi,aid,acie,adf,aejhg,afh,bgfji,bhjdc,fih
10 bcdefg,agh,ahgd,acgije,adj,ajg,afjidchb,bgc,dgj,digfe
10 bcdef,agh,ahi,aihe,adhjgf,aeg,bfejh,bgjedic,chd,ehg
10 bcdef,agh,ahi,aie,adhjgf,aeg,bfejh,bgjeic,chd,ehg
10 bcdef,agh,ahi,aie,adjgf,aeg,bfejh,bgjic,chd,ehg
10 bcdef,agh,ahi,aihe,adjgf,aeg,bfejh,bgjdic,chd,ehg
10 bcdef,ageh,ahi,aie,adijhbgf,aeg,bfe,bejic,chjed,eih
10 bcde,afg,agh,ahgi,aif,beijg,bfjidhc,cgd,dgjfe,fig
10 bcde,afg,agh,ahgi,aif,beijg,bfjdhc,cgd,djfe,fig
10 bcde,afg,agh,ahi,aif,beijg,bfjihc,cgd,dgjfe,fig
10 bcde,afg,agh,ahi,aif,beijg,bfjhc,cgd,djfe,fig
10 bcdef,agc,abghijd,acj,aji,aig,bfihc,cgi,chgfe,ced
10 bcdef,agc,abghid,aci,aij,ajg,bfjhc,cgj,ced,ehgf
10 bcdef,agc,abhiejd,acj,ajci,aig,bfih,cgi,chgfe,ced
10 bcde,afg,agh,ahgi,aif,beij,bjidhc,cgd,dgjfe,fig
10 bcde,afg,agh,ahi,aif,beij,bjihc,cgd,dgjfe,fig
10 bcde,afg,agh,ahi,aif,beij,bjhc,cgd,djfe,fig
10 bcde,afg,agh,ahgi,aif,beij,bjdhc,cgd,djfe,fig
10 bcdef,agc,abhijd,acj,aji,aig,bfih,cgi,chgfe,ced
10 bcdef,agc,abhid,aci,aij,ajg,bfjh,cgj,ced,ehgf
10 bcdef,agc,abheid,aci,aicj,ajg,bfjh,cgj,ced,ehgf
10 bcdef,agc,abgheid,aci,aicj,ajg,bfjhc,cgj,ced,ehgf
10 bcdefg,ahc,abifejd,acj,ajcf,aecihg,afh,bgfi,chf,ced
10 bcdef,agh,ahi,aihe,adhjgf,aeg,bfej,bjedic,chd,ehg
10 bcdef,agh,ahi,aihe,adjgf,aeg,bfej,bjdic,chd,ehg
10 bcdefg,ahc,abifjd,acj,ajf,aecihg,afh,bgfi,chf,ced
10 bcdefg,ahc,abijd,acj,ajf,aeihg,afh,bgfi,chf,ced
10 bcdefg,ahc,abiejd,acj,ajcf,aeihg,afh,bgfi,chf,ced
10 bcdefg,aghic,abi,aie,adihgjf,aej,ajeb,bei,bhedc,egf
10 bcdefg,agehic,abi,aie,adihbjf,aej,ajb,bei,bhedc,egf
10 bcdefg,aghic,abi,aie,adihjf,aej,ajb,bei,bhedc,egf
10 bcdefg,ageh,ahi,aie,adijhbgf,aeg,afeb,bejic,chjed,eih
10 bcdef,agh,ahd,ache,adhi,aig,bfijh,bgjiedc,ehjgf,gih
10 bcdef,agh,ahd,ache,adi,aig,bfijh,bgjidc,ehjgf,gih
10 bcdef,agh,ahd,ace,adhi,aig,bfijh,bgjiec,ehjgf,gih
10 bcdef,agh,ahd,ace,adi,aig,bfijh,bgjic,ehjgf,gih
10 bcdef,agh,ahd,ace,adi,aig,bfijh,bgjc,ejgf,gih
10 bcdef,agh,ahd,ace,adhi,aig,bfijh,bgjec,ejgf,gih
10 bcdef,afgc,abgh,ahi,aig,agb,bfeijc,cjid,dhjge,gih
10 bcdef,afgc,abh,ahi,aig,agb,bfeij,cjid,dhjge,gih
10 bcde,aefg,ahi,aif,afb,bedijg,bfh,cgji,chjfd,fih
10 bcdef,afeg,ahi,aie,adijhgbf,aeb,beh,cgeji,chjed,eih
10 bcdefg,agc,abfh,ahi,aif,aeijhcg,afb,cfjid,dhjfe,fih
10 bcdefg,agc,abh,ahi,aif,aeijhg,afb,cfjid,dhjfe,fih
10 bcdefg,agc,abh,ahi,aif,aeijg,afb,cjid,dhjfe,fih
10 bcdefg,agc,abfh,ahi,aif,aeijcg,afb,cjid,dhjfe,fih
10 bcdefg,agfc,abfh,ahi,aif,aejhcbg,afb,cfjid,dhje,fih
10 bcdef,agh,ahd,ache,adhi,aig,bfij,bjiedc,ehjgf,gih
10 bcdef,agh,ahd,ache,adhi,aig,bfij,bjedc,ejgf,gih
10 bcde,aefg,ahi,aif,afb,bedjg,bfh,cgji,chjd,fih
10 bcdef,afeg,ahi,aie,adjhgbf,aeb,beh,cgeji,chjd,eih
10 bcdefg,agfc,abh,ahi,aif,aejhbg,afb,cfjid,dhje,fih
10 bcdefg,agfc,abfh,ahi,aif,aejcbg,afb,cjid,dhje,fih
10 bcdef,afeg,ahi,aie,adjgbf,aeb,beh,cgji,chjd,eih
10 bcdefg,agc,abgd,acgh,ahi,aig,afijdcb,djie,ehjgf,gih
10 bcdef,afeg,ahi,aie,adijgbf,aeb,beh,cgji,chjed,eih
10 bcdefg,agc,abgd,ach,ahi,aig,afijcb,djie,ehjgf,gih
10 bcdefg,agc,abgd,ach,ahi,aig,afijhcb,dgjie,ehjgf,gih
10 bcdefgh,ahc,abhd,ache,adhijf,aej,ajh,agiedcb,ehj,eigf
10 bcdefg,ahi,aid,acie,adif,aeijhg,afh,bgfj,bjfedc,fih
10 bcdefgh,aic,abijfed,ace,adcf,aecg,afjih,agi,bhgjc,cig
10 bcdefgh,aic,abijed,ace,adcf,aeg,afjih,agi,bhgjc,cig
10 bcdefgh,aic,abijged,ace,adcf,aeg,afcjih,agi,bhgjc,cig
10 bcdefgh,aic,abijgfd,ace,adf,aecg,afcjih,agi,bhgjc,cig
10 bcdefgh,aic,abijgd,ace,adf,aeg,afcjih,agi,bhgjc,cig
10 bcdefgh,aic,abijd,ace,adf,aeg,afjih,agi,bhgjc,cig
10 bcdefgh,ahi,aid,acie,adif,aeijhg,afh,agfjib,bhjfedc,fih
10 bcdefgh,ahi,aihd,achjfe,adf,aedjhg,afh,agfjdcib,bhc,dhf
10 bcdefg,agh,ahi,aihe,adhjgf,aeg,afejhb,bgjedic,chd,ehg
10 bcdefg,agh,ahi,aie,adhjgf,aeg,afejhb,bgjeic,chd,ehg
10 bcdefg,agh,ahi,aie,adjgf,aeg,afejhb,bgjic,chd,ehg
10 bcdefg,agh,ahi,aihe,adjgf,aeg,afejhb,bgjdic,chd,ehg
10 bcdef,aghdc,abd,acbhie,adi,aij,bji,bid,dhgjfe,fig
10 bcde,afc,abfghd,ach,ahi,bjgc,cfh,cgjied,ehj,fih
10 bcdefg,ahfidc,abd,acbife,adf,aedibhjg,afj,bjf,bfd,fhg
10 bcdef,agc,abghed,ace,adchgijf,aej,biehc,cge,egj,eif
10 bcdefg,ahfi,aid,acijfe,adf,aedjibhg,afh,bgf,bfjdc,dif
10 bcdef,afg,agh,ahgi,aif,aeijgb,bfjidhc,cgd,dgjfe,fig
10 bcdef,afg,agh,ahgi,aif,aeijgb,bfjdhc,cgd,djfe,fig
10 bcdef,afg,agh,ahi,aif,aeijgb,bfjihc,cgd,dgjfe,fig
10 bcdef,afg,agh,ahi,aif,aeijgb,bfjhc,cgd,djfe,fig
10 bcdefg,agc,abghijd,acj,aji,aig,afihcb,cgi,chgfe,ced
10 bcdefg,agc,abghid,aci,aij,ajg,afjhcb,cgj,ced,ehgf
10 bcdefg,agc,abhiejd,acj,ajci,aig,afihb,cgi,chgfe,ced
10 bcdef,afg,agh,ahgi,aif,aeijb,bjidhc,cgd,dgjfe,fig
10 bcdef,afg,agh,ahi,aif,aeijb,bjihc,cgd,dgjfe,fig
10 bcdef,afg,agh,ahi,aif,aeijb,bjhc,cgd,djfe,fig
10 bcdefg,agc,abhijd,acj,aji,aig,afihb,cgi,chgfe,ced
10 bcdefg,agc,abhid,aci,aij,ajg,afjhb,cgj,ced,ehgf
10 bcdefg,agc,abgheid,aci,aicj,ajg,afjhcb,cgj,ced,ehgf
10 bcdefgh,ahc,abhiejd,acj,ajcf,aeihg,afh,agficb,chf,ced
10 bcdefg,ahidc,abd,acbife,adf,aedihjg,afj,bjf,bfd,fhg
10 bcdef,agc,abghed,ace,adchijf,aej,bihc,cge,egj,eif
10 bcdefgh,ahc,abhied,ace,adcihjf,aej,ajh,ageicb,che,egf
10 bcdefgh,ahc,abhied,ace,adcijf,aej,ajh,agicb,che,egf
10 bcdefgh,ahgi,aigjed,ace,adcjgf,aeg,afejcibh,agb,bgc,cge
10 bcdefg,agh,ahd,achi,aihjgf,aeg,afejhb,bgjeidc,dhe,ehg
10 bcdefgh,ahfi,aid,acijfe,adf,aedjibhg,afh,agfb,bfjdc,dif
10 bcdefg,agh,ahd,ache,adhi,aig,afijhb,bgjiedc,ehjgf,gih
10 bcdef,afgh,aid,acijge,adg,agb,bfedjih,bgi,chgjd,dig
10 bcdefg,aghc,abhi,aie,adijhf,aeh,ahb,bgfejc,cjed,eih
10 bcdef,afgh,aid,acijge,adg,agb,bfedjh,bgi,chjd,dig
10 bcdefg,ahc,abhd,aci,aif,aeijhg,afh,bgfjic,dhjfe,fih
10 bcdefg,agfh,aid,acijfe,adf,aedjihbg,afb,bfi,chfjd,dif
10 bcdefgh,ahc,abhd,achi,aif,aeijhg,afh,agfjdcb,djfe,fih
10 bcdefg,agfh,aid,acijfe,adf,aedjhbg,afb,bfi,chjd,dif
10 bcdefgh,ahc,abhd,aci,aif,aeijhg,afh,agfjicb,dhjfe,fih
10 bcdefghi,aic,abid,acie,adijf,aeg,afjih,agi,ahgjedcb,eig
10 bcdefgh,ahi,aid,acijhgfe,adf,aedg,afdh,agdjb,bjdc,dih
10 bcdefgh,ahi,aid,acijhge,adf,aeg,afdh,agdjb,bjdc,dih
10 bcdefgh,ahi,aid,acijhe,adf,aeg,afh,agdjb,bjdc,dih
10 bcdefgh,ahi,aid,acije,adf,aeg,afh,agjb,bjdc,dih
10 bcdefg,ahi,aid,acie,adif,aeijg,afh,bgji,bhjfedc,fih
10 bcdefg,ahi,aid,ace,adif,aeijg,afh,bgji,bhjfec,fih
10 bcdefg,ahi,aid,ace,adf,aeijg,afh,bgji,bhjfc,fih
10 bcdefg,ahi,aid,ace,adf,aejg,afh,bgji,bhjc,fih
10 bcdefg,ahi,aid,acie,adf,aeijg,afh,bgji,bhjfdc,fih
10 bcdefg,ahi,aid,acie,adif,aejg,afh,bgji,bhjedc,fih
10 bcdefg,ahi,aid,acie,adf,aejg,afh,bgji,bhjdc,fih
10 bcdefg,agh,ahgd,acgie,adj,ajg,afjidchb,bgc,dgj,eigf
10 bcdef,agh,ahi,aihe,adhjf,aeg,bfjh,bgjedic,chd,ehg
10 bcdef,agh,ahi,aihe,adjf,aeg,bfjh,bgjdic,chd,ehg
10 bcde,afgc,abh,ahi,aij,bji,bih,cgid,dhgfje,eif
10 bcd,aef,afg,agh,bij,bjgc,cfjihd,dgi,ehg,egf
10 bcdef,afg,agh,ahi,aif,aehjb,bjhc,cgjfid,dhe,fhg
10 bcdef,afg,agh,ahi,aif,aejb,bjhc,cgjid,dhe,fhg
